date, total, country
31/01/2121,807670000,China
31/02/2121,1242400000,China
31/03/2121,11324207000,China
31/04/2121,56011180000,China
31/05/2121,132401420000,China
31/06/2121,285835360000,China
31/07/2121,448124700000,China
31/08/2121,581952320000,China
31/09/2121,296830050000,China
31/12/2020,60000000,China
31/01/2121,283232060,India
31/02/2121,2377621470,India
31/03/2121,11660068610,India
31/04/2121,30381301110,India
31/05/2121,54325453010,India
31/06/2121,79300554070,India
31/07/2121,155934668110,India
31/08/2121,155934668110,India
31/09/2121,98896714530,India
31/12/2020,0,India
31/01/2121,3805422860,United States
31/02/2121,14155241870,United States
31/03/2121,34708630670,United States
31/04/2121,59739431530,United States
31/05/2121,81184360340,United States
31/06/2121,93558757710,United States
31/07/2121,101077513410,United States
31/08/2121,110877365250,United States
31/09/2121,45225438840,United States
31/12/2020,90446660,United States
31/01/2121,114417040,Brazil
31/02/2121,1488795370,Brazil
31/03/2121,3490449930,Brazil
31/04/2121,8129265940,Brazil
31/05/2121,13481419420,Brazil
31/06/2121,19660857080,Brazil
31/07/2121,34510755310,Brazil
31/08/2121,36852853330,Brazil
31/09/2121,22485146820,Brazil
31/12/2020,0,Brazil
