seats,state,election,party,newSeats
8,Johor,14,Barisan Nasional (BN),8.006866286
18,Johor,14,Pakatan Harapan (PH),18.00058588
0,Johor,14,Perikatan Nasional (PN),0.008744972
2,Kedah,14,Barisan Nasional (BN),2.001626254
10,Kedah,14,Pakatan Harapan (PH),10.00296246
3,Kedah,14,Perikatan Nasional (PN),3.0078326
5,Kelantan,14,Barisan Nasional (BN),5.003259237
0,Kelantan,14,Pakatan Harapan (PH),0.001710672
9,Kelantan,14,Perikatan Nasional (PN),9.001678899
2,Melaka,14,Barisan Nasional (BN),2.004877174
4,Melaka,14,Pakatan Harapan (PH),4.003316641
0,Melaka,14,Perikatan Nasional (PN),0.007938677
3,Negeri Sembilan,14,Barisan Nasional (BN),3.008603162
5,Negeri Sembilan,14,Pakatan Harapan (PH),5.004128447
0,Negeri Sembilan,14,Perikatan Nasional (PN),0.004047246
9,Pahang,14,Barisan Nasional (BN),9.005054247
5,Pahang,14,Pakatan Harapan (PH),5.003295254
0,Pahang,14,Perikatan Nasional (PN),0.009094953
11,Perak,14,Barisan Nasional (BN),11.00735463
13,Perak,14,Pakatan Harapan (PH),13.00371601
0,Perak,14,Perikatan Nasional (PN),0.001593092
2,Perlis,14,Barisan Nasional (BN),2.005581691
1,Perlis,14,Pakatan Harapan (PH),1.006382578
0,Perlis,14,Perikatan Nasional (PN),0.003871376
2,Pulau Pinang,14,Barisan Nasional (BN),2.004750316
11,Pulau Pinang,14,Pakatan Harapan (PH),11.00063804
0,Pulau Pinang,14,Perikatan Nasional (PN),0.009718842
10,Sabah,14,Barisan Nasional (BN),10.00889624
6,Sabah,14,Pakatan Harapan (PH),6.00275091
0,Sabah,14,Perikatan Nasional (PN),0.008899783
19,Sarawak,14,Barisan Nasional (BN),19.00572062
10,Sarawak,14,Pakatan Harapan (PH),10.00659013
0,Sarawak,14,Perikatan Nasional (PN),0.001043263
2,Selangor,14,Barisan Nasional (BN),2.000240223
20,Selangor,14,Pakatan Harapan (PH),20.00074365
0,Selangor,14,Perikatan Nasional (PN),0.005668716
2,Terengganu,14,Barisan Nasional (BN),2.007022053
0,Terengganu,14,Pakatan Harapan (PH),0.005329731
6,Terengganu,14,Perikatan Nasional (PN),6.006593961
2,Wilayah Persekutuan,14,Barisan Nasional (BN),2.001429647
10,Wilayah Persekutuan,14,Pakatan Harapan (PH),10.00369257
0,Wilayah Persekutuan,14,Perikatan Nasional (PN),0.005037678
9,Johor,15,Barisan Nasional (BN),9.0093488
15,Johor,15,Pakatan Harapan (PH),15.00726141
2,Johor,15,Perikatan Nasional (PN),2.009686437
0,Kedah,15,Barisan Nasional (BN),0.001854197
1,Kedah,15,Pakatan Harapan (PH),1.002940008
14,Kedah,15,Perikatan Nasional (PN),14.00558646
0,Kelantan,15,Barisan Nasional (BN),0.008715047
0,Kelantan,15,Pakatan Harapan (PH),0.005646181
14,Kelantan,15,Perikatan Nasional (PN),14.00479949
0,Melaka,15,Barisan Nasional (BN),0.009183116
3,Melaka,15,Pakatan Harapan (PH),3.005191998
3,Melaka,15,Perikatan Nasional (PN),3.004078601
5,Negeri Sembilan,15,Barisan Nasional (BN),5.004499103
3,Negeri Sembilan,15,Pakatan Harapan (PH),3.000024115
0,Negeri Sembilan,15,Perikatan Nasional (PN),0.006249243
5,Pahang,15,Barisan Nasional (BN),5.008377094
2,Pahang,15,Pakatan Harapan (PH),2.007852571
7,Pahang,15,Perikatan Nasional (PN),7.006229477
3,Perak,15,Barisan Nasional (BN),3.000147873
11,Perak,15,Pakatan Harapan (PH),11.0002221
10,Perak,15,Perikatan Nasional (PN),10.0033029
0,Perlis,15,Barisan Nasional (BN),0.006052247
0,Perlis,15,Pakatan Harapan (PH),0.001047427
3,Perlis,15,Perikatan Nasional (PN),3.001314394
0,Pulau Pinang,15,Barisan Nasional (BN),0.004587731
10,Pulau Pinang,15,Pakatan Harapan (PH),10.00578716
3,Pulau Pinang,15,Perikatan Nasional (PN),3.000524506
7,Sabah,15,Barisan Nasional (BN),7.000830863
5,Sabah,15,Pakatan Harapan (PH),5.008300983
1,Sabah,15,Perikatan Nasional (PN),1.00950959
0,Sarawak,15,Barisan Nasional (BN),0.002803083
6,Sarawak,15,Pakatan Harapan (PH),6.003179102
1,Sarawak,15,Perikatan Nasional (PN),1.007119407
0,Selangor,15,Barisan Nasional (BN),0.007733686
16,Selangor,15,Pakatan Harapan (PH),16.00055954
6,Selangor,15,Perikatan Nasional (PN),6.005684389
0,Terengganu,15,Barisan Nasional (BN),0.006774751
0,Terengganu,15,Pakatan Harapan (PH),0.002107162
8,Terengganu,15,Perikatan Nasional (PN),8.007807521
1,Wilayah Persekutuan,15,Barisan Nasional (BN),1.00685825
10,Wilayah Persekutuan,15,Pakatan Harapan (PH),10.00014822
2,Wilayah Persekutuan,15,Perikatan Nasional (PN),2.007923824
